Date,Price,Open,High,Low,Vol.,Change %
2018-11-28,10728.85,10708.75,10757.8,10699.85,437.63M,0.004
2018-11-27,10685.6,10621.45,10695.15,10596.35,382.83M,0.0054
2018-11-26,10628.6,10568.3,10637.8,10489.75,332.86M,0.0097
2018-11-22,10526.75,10612.65,10646.25,10512.0,246.93M,-0.0069
2018-11-21,10600.05,10670.95,10671.3,10562.35,310.19M,-0.0053
2018-11-20,10656.2,10740.1,10740.85,10640.85,304.32M,-0.01
2018-11-19,10763.4,10731.25,10774.7,10688.8,280.52M,0.0076
2018-11-16,10682.2,10644.0,10695.15,10631.15,353.38M,0.0062
2018-11-15,10616.7,10580.6,10646.5,10557.5,306.01M,0.0038
2018-11-14,10576.3,10634.9,10651.6,10532.7,396.37M,-0.0006
2018-11-13,10582.5,10451.9,10596.25,10440.55,262.54M,0.0096
2018-11-12,10482.2,10607.8,10645.5,10464.05,267.71M,-0.0097
2018-11-09,10585.2,10614.7,10619.55,10544.85,305.82M,-0.0013
2018-11-07,10598.85,10614.45,10616.45,10591.8,2.83M,0.0065
2018-11-06,10530.0,10552.0,10600.25,10491.45,309.88M,0.0006
2018-11-05,10524.0,10558.75,10558.8,10477.0,311.18M,-0.0027
2018-11-02,10553.0,10462.3,10606.95,10457.7,434.18M,0.0166
2018-11-01,10380.45,10441.7,10441.9,10341.9,359.34M,-0.0006
2018-10-31,10386.6,10209.55,10396.0,10105.1,386.62M,0.0185
2018-10-30,10198.4,10239.4,10285.1,10175.35,298.75M,-0.0051
2018-10-29,10250.85,10078.1,10275.3,10020.35,375.75M,0.022
2018-10-26,10030.0,10122.35,10128.85,10004.55,375.56M,-0.0094
2018-10-25,10124.9,10135.05,10166.6,10079.3,522.42M,-0.0098
2018-10-24,10224.75,10278.15,10290.65,10126.7,362.27M,0.0077
2018-10-23,10146.8,10152.6,10222.1,10102.35,312.04M,-0.0096
2018-10-22,10245.25,10405.85,10408.55,10224.0,306.47M,-0.0057
2018-10-19,10303.55,10339.7,10380.1,10249.6,368.55M,-0.0143
2018-10-17,10453.05,10688.7,10710.15,10436.45,293.59M,-0.0124
2018-10-16,10584.75,10550.15,10604.9,10525.3,273.44M,0.0069
