Date,Price,Open,High,Low,Change %
2012-04-25,84.826,84.864,85.155,84.393,-0.0007
2012-04-24,84.888,84.458,85.339,84.272,0.0048
2012-04-23,84.479,83.989,84.633,83.639,0.006
2012-04-20,83.979,83.583,84.117,83.286,0.0042
2012-04-19,83.627,82.85,83.674,82.684,0.009
2012-04-18,82.885,81.812,83.076,81.72,0.0128
2012-04-17,81.834,82.018,82.311,81.703,-0.0028
2012-04-16,82.066,81.696,82.127,81.204,0.0045
2012-04-13,81.697,81.722,82.12,81.487,-0.0009
2012-04-12,81.771,81.831,82.372,81.604,-0.0012
2012-04-11,81.87,81.652,82.099,81.268,0.0025
2012-04-10,81.666,81.345,81.749,81.029,0.0033
2012-04-09,81.395,81.256,81.596,80.785,0.0024
2012-04-06,81.201,80.75,81.275,80.708,0.0053
2012-04-05,80.769,81.097,81.383,80.543,-0.0041
2012-04-04,81.1,80.42,81.403,80.228,0.0079
2012-04-03,80.463,81.371,81.618,80.319,-0.0115
2012-04-02,81.402,81.473,81.645,81.167,-0.0008
2012-03-30,81.466,81.882,82.095,81.231,-0.0056
2012-03-29,81.923,80.671,81.944,80.569,0.0156
2012-03-28,80.666,80.782,81.441,80.423,-0.0022
2012-03-27,80.844,81.453,81.661,80.762,-0.008
2012-03-26,81.493,81.232,81.686,81.017,0.0036
2012-03-23,81.204,81.104,81.392,80.742,0.001
2012-03-22,81.126,80.283,81.177,80.154,0.0095
2012-03-21,80.363,80.105,80.509,79.806,0.0028
2012-03-20,80.141,79.694,80.27,79.558,0.0052
2012-03-19,79.728,79.406,79.859,79.271,0.0035
2012-03-16,79.447,79.0,79.532,78.757,0.0055
2012-03-15,79.011,78.215,79.157,78.029,0.0096
2012-03-14,78.263,78.274,78.675,78.063,-0.0007
2012-03-13,78.32,78.097,78.645,77.886,0.0024
2012-03-12,78.136,77.978,78.417,77.829,0.0018
2012-03-09,77.996,79.261,79.294,77.909,-0.0161
2012-03-08,79.276,79.125,79.45,79.002,0.0014
2012-03-07,79.163,79.171,79.852,78.919,0.0002
2012-03-06,79.148,79.024,79.572,78.716,0.0015
2012-03-05,79.028,78.404,79.117,78.197,0.0077
2012-03-02,78.421,78.516,78.97,78.335,-0.0016
2012-03-01,78.544,78.143,78.569,77.967,0.0047
2012-02-29,78.18,77.861,78.422,77.746,0.0038
2012-02-28,77.882,77.776,78.037,77.41,0.0012
2012-02-27,77.79,77.827,78.245,77.564,-0.0009
2012-02-24,77.858,77.292,77.941,77.09,0.007
2012-02-23,77.313,76.999,77.367,76.91,0.0036
2012-02-22,77.035,77.648,77.879,76.977,-0.0085
2012-02-21,77.694,77.892,78.085,77.607,-0.0027
2012-02-20,77.906,78.137,78.335,77.818,-0.0025
2012-02-17,78.099,77.843,78.16,77.672,0.0026
2012-02-16,77.893,77.471,78.12,77.209,0.0049
2012-02-15,77.512,77.634,77.695,77.171,-0.0013
2012-02-14,77.615,77.474,77.798,77.076,0.0015
2012-02-13,77.499,77.85,78.209,77.464,-0.0027
2012-02-10,77.71,78.179,78.757,77.632,-0.0064
2012-02-09,78.212,77.598,78.61,77.45,0.0077
2012-02-08,77.614,78.07,78.369,77.564,-0.0064
2012-02-07,78.114,77.625,78.239,77.168,0.0062
2012-02-06,77.63,76.856,77.703,76.637,0.0096
2012-02-03,76.889,77.486,77.784,76.619,-0.0079
2012-02-02,77.505,77.767,78.043,77.442,-0.0038
2012-02-01,77.801,77.992,78.275,77.559,-0.0026
2012-01-31,78.005,77.871,78.288,77.699,0.0014
2012-01-30,77.897,77.631,78.206,77.324,0.0022
2012-01-27,77.723,77.525,78.115,77.241,0.0025
2012-01-26,77.529,78.275,78.587,77.371,-0.0102
2012-01-25,78.331,78.1,78.415,77.733,0.0032
2012-01-24,78.081,77.793,78.272,77.58,0.0034
2012-01-23,77.816,78.092,78.374,77.688,-0.0052
2012-01-20,78.224,77.657,78.224,77.587,0.0073
2012-01-19,77.655,77.628,77.913,77.318,0.0001
2012-01-18,77.651,77.871,78.106,77.278,-0.0031
2012-01-17,77.889,78.694,78.799,77.631,-0.0102
2012-01-16,78.689,78.585,79.292,78.555,-0.0018
2012-01-13,78.834,79.001,79.206,78.343,-0.0026
2012-01-12,79.039,79.353,79.557,78.862,-0.0041
2012-01-11,79.363,79.949,80.225,79.265,-0.0067
2012-01-10,79.895,80.984,81.246,79.753,-0.0135
2012-01-09,80.987,81.201,81.488,80.77,-0.0038
2012-01-06,81.293,81.885,82.158,80.975,-0.0073
2012-01-05,81.89,82.531,82.816,81.822,-0.0082
2012-01-04,82.567,83.07,83.248,82.335,-0.0062
2012-01-03,83.081,82.668,83.245,82.464,0.0049
2012-01-02,82.673,82.166,82.761,82.166,0.0037
2011-12-30,82.372,81.673,82.563,81.471,0.0081
2011-12-29,81.71,81.71,82.639,81.437,-0.0002
2011-12-28,81.728,82.894,83.73,81.647,-0.0144
2011-12-27,82.921,82.38,83.201,82.196,0.0063
2011-12-26,82.399,82.31,82.728,82.185,0.0009
2011-12-23,82.329,82.377,83.138,82.258,-0.0008
2011-12-22,82.398,82.273,82.963,82.053,0.0032
2011-12-21,82.135,82.695,82.94,81.969,-0.0062
2011-12-20,82.651,81.685,83.012,81.592,0.0119
2011-12-19,81.677,81.58,82.471,81.094,0.0022
